"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 14/03 - Carrusel -  ¿Depilarse los brazos? Si tú qu",not_delivering,2,actions:post_engagement,0,5,Diario,0,8,7,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",0,1.142857,
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 14/03 - carrusel -  ¿Depilarse los brazos? Si tú",not_delivering,2,actions:post_engagement,0,15,Diario,0,6,6,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0,1,
2026-03-01,2026-03-31,"[Depilé] 18/03 Reel -  Bandas o Crema? Es la pregu",not_delivering,1344,actions:post_engagement,0.00892857,5,Diario,12,5395,1779,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,Promedio,"Por debajo del promedio - 20% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",2.224282,3.032603,
2026-03-01,2026-03-31,"[Depilé] 15/03 Reel -  Sin copy",not_delivering,1461,actions:post_engagement,0.00813142,5,Diario,11.88,5537,1661,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,Promedio,"Por debajo del promedio - 20% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",2.145566,3.333534,2
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 15/03 - Sin copy",inactive,55991,actions:post_engagement,0.00151649,15,Diario,84.91,102635,91504,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,Promedio,Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0.827301,1.121645,
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 18/03 - ¿Bandas o Crema? Es la pregun",inactive,2783,actions:post_engagement,0.00288538,15,Diario,8.03,9233,8739,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,"Por encima del promedio",Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0.869706,1.056528,
2026-03-01,2026-03-31,"[Depilé] 15/03 - Reel - Marzo = Volver a la rutina",not_delivering,87,actions:post_engagement,0.00816092,5,Diario,0.71,320,211,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",2.21875,1.516588,
2026-03-01,2026-03-31,"[Depilé] 18/03 - Reel - ¿Bandas o Crema? Es la preg",not_delivering,52,actions:post_engagement,0.00846154,5,Diario,0.44,185,148,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",2.378378,1.25,
2026-03-01,2026-03-31,"[Depilé] 21/03 - Reel - Les dimos las bandas y una cá",not_delivering,733,actions:post_engagement,0.00723056,5,Diario,5.3,2366,1019,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 20% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",2.240068,2.321884,
2026-03-01,2026-03-31,"[Depilé] 22/03 - Reel -Hay dos tipos de domingos: los",not_delivering,,,,5,Diario,0,0,0,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",0,0,
